Date,Campaign ID,Campaign name,Campaign budget type,Campaign budget amount,Campaign delivery status,Portfolio name,Portfolio ID,Budget currency,Impressions,Clicks,CTR,CPC,Units sold,Sales,ROAS,Return per thousand impressions,Purchases from clicks,Sales from clicks,Units sold from clicks,Purchases (new to brand),Sales (new to brand),Units sold (new to brand),Percent of sales new to brand
"Jul 06, 2026","=""143418681856266""",SPM|FingerPaint|B0CTHWVRJY|Exact|EV,DAILY_BUDGET,500,ENABLED,No Portfolio,-1,INR,11,0,0.0000%,,0,0.00,,0.00000,0,0.00,0,,,,
"Jul 06, 2026","=""136510731780676""",SPT COMP | EXACT | CRAYONS FABER | EV,DAILY_BUDGET,800,ENABLED,No Portfolio,-1,INR,849,21,2.4735%,12.29333,2,770.82,2.98582,907.91519,2,770.82,2,,,,
"Jul 05, 2026","=""213292163478665""",SPM|Magic Paint Dust |EV,DAILY_BUDGET,425,PAUSED,No Portfolio,-1,INR,405,2,0.4938%,12.38000,0,0.00,0.00000,0.00000,0,0.00,0,,,,
"Jul 04, 2026","=""465213237078364""",SP_PT_Paintbrushes_Alternate Purchase,DAILY_BUDGET,300,PAUSED,Brush,193601647018990,INR,109,3,2.7523%,17.86000,0,0.00,0.00000,0.00000,0,0.00,0,,,,
"Jul 04, 2026","=""117336351694168""",SPM|B0CV1653HN|Phrase|EV,DAILY_BUDGET,600,ENABLED,No Portfolio,-1,INR,31,0,0.0000%,,0,0.00,,0.00000,0,0.00,0,,,,
"Jul 04, 2026","=""42470785252011""",SPM | PHRASE | FINGER PAIND AND BRUSH | EV,DAILY_BUDGET,400,PAUSED,No Portfolio,-1,INR,1087,1,0.0920%,8.22000,0,0.00,0.00000,0.00000,0,0.00,0,,,,
"Jul 05, 2026","=""407135301168055""",SPM_Crayon (Focused),DAILY_BUDGET,800,PAUSED,Crayons EV,168785445729730,INR,822,4,0.4866%,9.04500,0,0.00,0.00000,0.00000,0,0.00,0,,,,
"Jul 04, 2026","=""386094103151385""",SPPT Low selling Asins on Top selling Asins evits,DAILY_BUDGET,750,ENABLED,MIX,97346527170228,INR,96,1,1.0417%,11.84000,0,0.00,0.00000,0.00000,0,0.00,0,,,,
"Jul 06, 2026","=""348337395626859""",SD_On Competitors_EV,DAILY_BUDGET,500,PAUSED,Finger Paints,159287746377553,INR,354,0,0.0000%,,0,0.00,,0.00000,0,0.00,0,0,0.00,0,
"Jul 06, 2026","=""154358744913062""",SPM|Exact|Playdough|EV,DAILY_BUDGET,1300,ENABLED,No Portfolio,-1,INR,1139,16,1.4047%,16.70813,1,560.17,2.09543,491.80860,1,560.17,1,,,,
