Sales Dashboard
Last updated,July 12 2026 6:59:14 PM IST

Filter Selection
Date,Custom
Sales breakdown,Marketplace total
Fulfilment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
564,581,"₹3,22,815.44",1.03,572.37
Compare Sales - Graph view
Time,Selected date range (Ordered product sales),Selected date range (Units ordered),Same date range one year ago (Ordered product sales),Same date range one year ago (Units ordered)
2026-07-04T00:00:00,"₹2,826.44",6.0,"₹1,423.00",2.0
2026-07-04T01:00:00,"₹3,312.00",7.0,"₹569.00",1.0
2026-07-04T02:00:00,"₹0.00",0.0,"₹1,182.20",2.0
2026-07-04T03:00:00,"₹0.00",0.0,"₹0.00",0.0
2026-07-04T04:00:00,"₹543.00",1.0,"₹0.00",0.0
2026-07-04T05:00:00,"₹543.00",1.0,"₹0.00",0.0
2026-07-04T06:00:00,"₹2,943.00",5.0,"₹569.00",1.0
2026-07-04T07:00:00,"₹1,812.00",3.0,"₹2,418.00",3.0
2026-07-04T08:00:00,"₹4,119.00",7.0,"₹2,829.00",4.0
2026-07-04T09:00:00,"₹3,896.00",7.0,"₹3,994.00",6.0
2026-07-04T10:00:00,"₹4,016.00",7.0,"₹2,364.40",4.0
2026-07-04T11:00:00,"₹13,946.00",27.0,"₹1,564.00",3.0
2026-07-04T12:00:00,"₹8,244.00",15.0,"₹2,133.00",4.0
2026-07-04T13:00:00,"₹4,143.00",7.0,"₹569.00",1.0
2026-07-04T14:00:00,"₹3,836.00",7.0,"₹2,076.00",4.0
2026-07-04T15:00:00,"₹7,200.00",13.0,"₹1,564.00",3.0
2026-07-04T16:00:00,"₹5,333.00",8.0,"₹3,379.00",5.0
2026-07-04T17:00:00,"₹4,343.00",9.0,"₹2,948.00",4.0
2026-07-04T18:00:00,"₹6,026.00",11.0,"₹3,827.00",7.0
2026-07-04T19:00:00,"₹1,980.00",4.0,"₹2,986.20",5.0
2026-07-04T20:00:00,"₹5,155.00",9.0,"₹5,083.00",7.0
2026-07-04T21:00:00,"₹4,142.00",6.0,"₹342.00",2.0
2026-07-04T22:00:00,"₹3,178.00",6.0,"₹4,347.00",7.0
2026-07-04T23:00:00,"₹10,558.00",19.0,"₹1,632.00",2.0
2026-07-05T00:00:00,"₹4,536.00",10.0,"₹2,813.20",5.0
2026-07-05T01:00:00,"₹5,023.00",7.0,"₹1,058.00",2.0
2026-07-05T02:00:00,"₹1,385.00",2.0,"₹426.00",1.0
2026-07-05T03:00:00,"₹0.00",0.0,"₹569.00",1.0
2026-07-05T04:00:00,"₹0.00",0.0,"₹0.00",0.0
2026-07-05T05:00:00,"₹1,305.00",2.0,"₹996.00",1.0
2026-07-05T06:00:00,"₹0.00",0.0,"₹0.00",0.0
2026-07-05T07:00:00,"₹1,028.00",2.0,"₹2,057.00",4.0
2026-07-05T08:00:00,"₹1,525.00",3.0,"₹2,845.00",4.0
2026-07-05T09:00:00,"₹0.00",0.0,"₹4,143.00",8.0
2026-07-05T10:00:00,"₹8,264.00",13.0,"₹4,614.00",7.0
2026-07-05T11:00:00,"₹4,463.00",8.0,"₹4,546.00",7.0
2026-07-05T12:00:00,"₹4,474.00",8.0,"₹1,951.00",4.0
2026-07-05T13:00:00,"₹6,932.00",11.0,"₹5,727.00",8.0
2026-07-05T14:00:00,"₹4,447.00",7.0,"₹3,147.00",5.0
2026-07-05T15:00:00,"₹6,521.00",13.0,"₹1,818.20",3.0
2026-07-05T16:00:00,"₹2,505.00",5.0,"₹2,988.00",4.0
2026-07-05T17:00:00,"₹2,855.00",6.0,"₹5,704.00",9.0
2026-07-05T18:00:00,"₹3,720.00",8.0,"₹1,992.00",3.0
2026-07-05T19:00:00,"₹8,397.00",14.0,"₹995.00",2.0
2026-07-05T20:00:00,"₹2,080.00",4.0,"₹1,974.00",3.0
2026-07-05T21:00:00,"₹5,755.00",9.0,"₹1,608.20",3.0
2026-07-05T22:00:00,"₹5,626.00",11.0,"₹3,472.00",6.0
2026-07-05T23:00:00,"₹6,379.00",14.0,"₹2,489.20",4.0
2026-07-06T00:00:00,"₹4,704.00",8.0,"₹4,940.00",8.0
2026-07-06T01:00:00,"₹2,583.00",5.0,"₹2,049.00",4.0
2026-07-06T02:00:00,"₹1,407.00",3.0,"₹569.00",1.0
2026-07-06T03:00:00,"₹2,482.00",4.0,"₹569.00",1.0
2026-07-06T04:00:00,"₹0.00",0.0,"₹0.00",0.0
2026-07-06T05:00:00,"₹911.00",2.0,"₹0.00",0.0
2026-07-06T06:00:00,"₹0.00",0.0,"₹0.00",0.0
2026-07-06T07:00:00,"₹1,392.00",2.0,"₹1,138.00",2.0
2026-07-06T08:00:00,"₹5,924.00",11.0,"₹2,276.00",4.0
2026-07-06T09:00:00,"₹6,043.00",10.0,"₹1,565.00",2.0
