campaign_id,campaign_name,portfolio_name,last_status,active_days,total_daily_budget,impressions,clicks,ctr,spend,cpc,cpm,purchases,units_sold,sales,roas,acos,conversion_rate,aov,rpc,rpi,cpp,budget_utilization,contribution,spend_pct,sales_pct,revenue_share,campaign_share,contribution_pct,rank_by_sales,rank_by_spend
53195916546472,SB|Banner | prime day |FingerPaint|EV,No Portfolio,ENABLED,3,3000,31396,201,0.6402,1408.6200000000001,7.01,44.87,22,22,12922.22,9.1737,10.9008,10.9453,587.37,64.29,0.411588,64.03,46.95,11513.599999999999,2.1,6.69,6.69,3.48,9.13,1,14
349833362276307,SPM_Branded_Exact_EV,Branded KWs,ENABLED,3,6000,19894,164,0.8244,1992.7199999999998,12.15,100.17,21,21,10814.85,5.4272,18.4258,12.8049,514.99,65.94,0.543624,94.89,33.21,8822.130000000001,2.97,5.6,5.6,2.21,6.99,2,9
38374610858252,SPT|Finger paint|EV,No Portfolio,ENABLED,3,6000,10871,203,1.8674,3523.65,17.36,324.13,21,21,9952.91,2.8246,35.4032,10.3448,473.95,49.03,0.915547,167.79,58.73,6429.26,5.25,5.15,5.15,1.21,5.1,3,3
35955913989064,SPM|Phrase | prime day |MixASIN-1|EV,No Portfolio,ENABLED,3,6000,115221,299,0.2595,6594.7,22.06,57.24,19,19,9135.41,1.3853,72.1883,6.3545,480.81,30.55,0.079286,347.09,109.91,2540.71,9.82,4.73,4.73,12.78,2.01,4,1
154358744913062,SPM|Exact|Playdough|EV,No Portfolio,ENABLED,3,3900,12894,95,0.7368,2064.72,21.73,160.13,16,16,8624.98,4.1773,23.9388,16.8421,539.06,90.79,0.668914,129.04,52.94,6560.26,3.08,4.46,4.46,1.43,5.2,5,8
89457641769816,SPM||Finger paint|Phrase|EV,No Portfolio,ENABLED,3,9000,13184,120,0.9102,1927.0,16.06,146.16,17,17,8328.64,4.3221,23.137,14.1667,489.92,69.41,0.631723,113.35,21.41,6401.639999999999,2.87,4.31,4.31,1.46,5.08,6,10
203247723034269,SPM|FingerPaint|NewKW-1|EV,No Portfolio,ENABLED,3,1500,14317,70,0.4889,1559.75,22.28,108.94,15,15,7970.85,5.1103,19.5682,21.4286,531.39,113.87,0.55674,103.98,103.98,6411.1,2.32,4.12,4.12,1.59,5.08,7,13
527177961058816,SPM finger Paints KW/Broad Evits,Finger Paints,ENABLED,3,6000,35770,168,0.4697,4111.02,24.47,114.93,14,14,7039.3099999999995,1.7123,58.4009,8.3333,502.81,41.9,0.196794,293.64,68.52,2928.289999999999,6.12,3.64,3.64,3.97,2.32,8,2
82534089099489,SPM | Phrase KWs tgrt |--Evits,Finger Paints,ENABLED,3,2100,20885,114,0.5458,1827.1799999999998,16.03,87.49,16,16,7035.73,3.8506,25.97,14.0351,439.73,61.72,0.33688,114.2,87.01,5208.549999999999,2.72,3.64,3.64,2.32,4.13,9,11
190630060887939,SPM|PlayDough|Exact\EV,No Portfolio,ENABLED,3,6000,641,61,9.5164,2202.73,36.11,3436.4,12,13,6928.8099999999995,3.1456,31.7909,19.6721,577.4,113.59,10.809376,183.56,36.71,4726.08,3.28,3.58,3.58,0.07,3.75,10,7
