date,campaign_id,campaign_name,portfolio_name,portfolio_id,delivery_status,budget_type,budget_amount,currency,impressions,clicks,ctr,spend,cpc,cpm,purchases,units_sold,sales,roas,acos,conversion_rate,aov,rpc,rpi,cpp,budget_utilization,ntb_purchases,ntb_sales,ntb_units
2026-07-06,143418681856266,SPM|FingerPaint|B0CTHWVRJY|Exact|EV,No Portfolio,-1,ENABLED,DAILY_BUDGET,500,INR,11,0,0.0,0.0,,0.0,0,0,0.0,,,,,,0.0,,0.0,0,0.0,0
2026-07-06,136510731780676,SPT COMP | EXACT | CRAYONS FABER | EV,No Portfolio,-1,ENABLED,DAILY_BUDGET,800,INR,849,21,2.4735,258.16,12.29,304.08,2,2,770.82,2.9858,33.4916,9.5238,385.41,36.71,0.907915,129.08,32.27,0,0.0,0
2026-07-05,213292163478665,SPM|Magic Paint Dust |EV,No Portfolio,-1,PAUSED,DAILY_BUDGET,425,INR,405,2,0.4938,24.76,12.38,61.14,0,0,0.0,0.0,,0.0,,0.0,0.0,,5.83,0,0.0,0
2026-07-04,465213237078364,SP_PT_Paintbrushes_Alternate Purchase,Brush,193601647018990,PAUSED,DAILY_BUDGET,300,INR,109,3,2.7523,53.58,17.86,491.56,0,0,0.0,0.0,,0.0,,0.0,0.0,,17.86,0,0.0,0
2026-07-04,117336351694168,SPM|B0CV1653HN|Phrase|EV,No Portfolio,-1,ENABLED,DAILY_BUDGET,600,INR,31,0,0.0,0.0,,0.0,0,0,0.0,,,,,,0.0,,0.0,0,0.0,0
2026-07-04,42470785252011,SPM | PHRASE | FINGER PAIND AND BRUSH | EV,No Portfolio,-1,PAUSED,DAILY_BUDGET,400,INR,1087,1,0.092,8.22,8.22,7.56,0,0,0.0,0.0,,0.0,,0.0,0.0,,2.06,0,0.0,0
2026-07-05,407135301168055,SPM_Crayon (Focused),Crayons EV,168785445729730,PAUSED,DAILY_BUDGET,800,INR,822,4,0.4866,36.18,9.04,44.01,0,0,0.0,0.0,,0.0,,0.0,0.0,,4.52,0,0.0,0
2026-07-04,386094103151385,SPPT Low selling Asins on Top selling Asins evits,MIX,97346527170228,ENABLED,DAILY_BUDGET,750,INR,96,1,1.0417,11.84,11.84,123.33,0,0,0.0,0.0,,0.0,,0.0,0.0,,1.58,0,0.0,0
2026-07-06,348337395626859,SD_On Competitors_EV,Finger Paints,159287746377553,PAUSED,DAILY_BUDGET,500,INR,354,0,0.0,0.0,,0.0,0,0,0.0,,,,,,0.0,,0.0,0,0.0,0
2026-07-06,154358744913062,SPM|Exact|Playdough|EV,No Portfolio,-1,ENABLED,DAILY_BUDGET,1300,INR,1139,16,1.4047,267.33,16.71,234.71,1,1,560.17,2.0954,47.723,6.25,560.17,35.01,0.491809,267.33,20.56,0,0.0,0
